Tamable,Rideable,Breedable,Name,Health_alias,Stamina_alias,Oxygen_alias,Food_alias,Weight_alias,MeleeDamage_alias
true,false,false,'Abberant Coelacanth','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Aberrant Achatina','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Anglerfish','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Ankylosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Aberrant Araneo','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Aberrant Arthropluera','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Baryonyx','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Beelzebufo','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Carbonemys','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Carnotaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Aberrant Cnidaria','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Aberrant Dimetrodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Aberrant Dimorphodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Diplocaulus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Diplodocus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Dire Bear','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Aberrant Dodo','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Doedicurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Aberrant Dung Beetle','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Aberrant Electrophorus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Equus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Gigantopithecus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Iguanodon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Aberrant Lystrosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Manta','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Megalania','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Megalosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Aberrant Meganeura','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Moschops','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Aberrant Otter','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Ovis','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Paraceratherium','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Parasaur','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Aberrant Piranha','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,false,'Aberrant Pulmonoscorpius','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,true,'Aberrant Purlovia','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Raptor','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Aberrant Salmon','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Sarco','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Spino','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Stegosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Aberrant Titanoboa','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Aberrant Triceratops','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Aberrant Trilobite','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,false,false,'Achatina','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
true,true,true,'Allosaurus','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
false,false,false,'Ammonite','Health','Stamina','Oxygen','Food','Weight','Melee Damage'
